Date,Entry,Option Strike,Option Initial Price,Option Type,Bought Delta,lot_size,Expiry Month,Target Delta,Options PNL,Option Close Date,Option Final Price,Option SL
01-02-2019,INFY-I790CE,790,9.05,call,0.335946098,925.0693802,28-02-2019,0.35,8194.727105,28-02-2019,0.1,Expiry
01-03-2019,INFY-I770CE,770,8.75,call,0.360181039,944.0323668,28-03-2019,0.35,8130.006743,28-03-2019,0.05,Expiry
29-03-2019,INFY-I770CE,770,15.8,call,0.364206961,943.2055514,25-04-2019,0.35,14705.98936,25-04-2019,0.05,Expiry
26-04-2019,INFY-I770CE,770,7.7,call,0.367789424,947.7389656,30-05-2019,0.35,7176.753317,30-05-2019,0.05,Expiry
31-05-2019,INFY-I770CE,770,4.4,call,0.33477683,949.3456296,27-06-2019,0.35,4087.407608,27-06-2019,0.05,Expiry
28-06-2019,INFY-I760CE,760,11.6,call,0.35911542,956.6762334,25-07-2019,0.35,-22638.78639,17-07-2019,34.8,Intraday SL Hit
26-07-2019,INFY-I830CE,830,4.6,call,0.333073716,886.8055995,29-08-2019,0.35,3993.729018,29-08-2019,0.05,Expiry
30-08-2019,INFY-I850CE,850,6.4,call,0.34023202,858.9484017,26-09-2019,0.35,5398.920179,26-09-2019,0.05,Expiry
27-09-2019,INFY-I820CE,820,13.9,call,0.345154271,894.9117873,31-10-2019,0.35,12269.68806,31-10-2019,0.05,Expiry
01-11-2019,INFY-I720CE,720,15.8,call,0.328514933,1016.702977,28-11-2019,0.35,15851.92447,28-11-2019,0.05,Expiry
29-11-2019,INFY-I720CE,720,10.4,call,0.376473513,1006.036217,26-12-2019,0.35,-4883.299799,26-12-2019,15,Expiry
27-12-2019,INFY-I770CE,770,8.7,call,0.356410865,950.3767565,30-01-2020,0.35,-2277.102709,30-01-2020,10.9,Expiry
31-01-2020,INFY-I810CE,810,7.25,call,0.338224793,900.090009,27-02-2020,0.35,6414.941494,27-02-2020,0.05,Expiry
28-02-2020,INFY-I760CE,760,13.95,call,0.353512859,956.937799,26-03-2020,0.35,13167.46411,26-03-2020,0.05,Expiry
27-03-2020,INFY-I690CE,690,38,call,0.354654541,1072.879148,30-04-2020,0.35,8937.083301,30-04-2020,29,Expiry
04-05-2020,INFY-I710CE,710,15.5,call,0.347691916,1036.960225,28-05-2020,0.35,15859.78816,28-05-2020,0.05,Expiry
29-05-2020,INFY-I730CE,730,7.7,call,0.352251748,1011.633789,25-06-2020,0.35,7660.596864,25-06-2020,0.05,Expiry
26-06-2020,INFY-I800CE,800,11.5,call,0.335899436,936.8308351,30-07-2020,0.35,-21978.05139,15-07-2020,34.5,Intraday SL Hit
31-07-2020,INFY-I1020CE,1020,18.15,call,0.364656343,723.2899359,27-08-2020,0.35,12959.90907,27-08-2020,0.05,Expiry
28-08-2020,INFY-I990CE,990,11.85,call,0.352380073,748.0230819,24-09-2020,0.35,-18082.70998,17-09-2020,35.55,Intraday SL Hit
25-09-2020,INFY-I1080CE,1080,16.3,call,0.339603133,695.1340616,29-10-2020,0.35,-23114.59782,08-10-2020,48.9,Intraday SL Hit
30-10-2020,INFY-I1120CE,1120,16.25,call,0.334530408,660.5643107,26-11-2020,0.35,10593.46985,26-11-2020,0.05,Expiry
27-11-2020,INFY-I1180CE,1180,19.25,call,0.34853488,629.2983324,31-12-2020,0.35,-27413.8086,23-12-2020,62,Overnight SL Hit
01-01-2021,INFY-I1320CE,1320,30.05,call,0.364105018,555.9747429,28-01-2021,0.35,-34082.36369,13-01-2021,90.15,Intraday SL Hit
29-01-2021,INFY-I1320CE,1320,18.6,call,0.340708673,560.0672081,25-02-2021,0.35,10284.79418,25-02-2021,0.05,Expiry
26-02-2021,INFY-I1320CE,1320,25,call,0.352463373,558.2137161,25-03-2021,0.35,-31287.87879,12-03-2021,80,Overnight SL Hit
26-03-2021,INFY-I1400CE,1400,31,call,0.370418395,523.1689088,29-04-2021,0.35,-33085.20179,12-04-2021,93,Intraday SL Hit
30-04-2021,INFY-I1400CE,1400,24.4,call,0.349458288,519.2878338,27-05-2021,0.35,10445.99407,27-05-2021,4,Expiry
28-05-2021,INFY-I1460CE,1460,14.35,call,0.344330779,497.2650423,24-06-2021,0.35,-14556.93685,17-06-2021,43.05,Intraday SL Hit
