ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Nifty Spot Price,Nifty Option Strike,Nifty Option Final Price,Nifty Option Initial Price,Nifty Option Close Date,Nifty lot_size,Nifty Options PNL,Option SL,,
BAJAJ_AUTO.EQ-NSE,08-03-2019,2962,2900,51,0.05,28-03-2019,11920.20594,236.3268062,0,FALSE,0,11035.4,10950,0.1,84.05,0,63.4322272,5378.513692,No SL Hit,99.90%,-99.88%
BAJAJ_AUTO.EQ-NSE,05-04-2019,2867,2800,36,0.1,25-04-2019,8677.11894,244.1576561,0,FALSE,0,11665.95,11600,0.05,76,0,60.00368594,4602.91275,No SL Hit,99.72%,-99.93%
BAJAJ_AUTO.EQ-NSE,10-05-2019,2970.05,2900,72.8,0.05,30-05-2019,16974.47854,235.6862679,0,FALSE,0,11278.9,11200,0.05,268.35,0,62.06278981,16818.02303,No SL Hit,99.93%,-99.98%
BAJAJ_AUTO.EQ-NSE,07-06-2019,2959.7,2900,41.8,83.6,19-06-2019,-10182.72122,236.5104571,0,FALSE,0,11870.65,11800,127.9,109.7,0,58.96896969,-933.1249763,Intraday SL Hit,-100.00%,16.59%
BAJAJ_AUTO.EQ-NSE,05-07-2019,2840.1001,2800,73.1,146.2,18-07-2019,-18557.47972,246.470186,0,FALSE,0,11811.15,11700,120,89.6,0,59.26603252,-1677.465784,Intraday SL Hit,-100.00%,33.93%
BAJAJ_AUTO.EQ-NSE,09-08-2019,2700.25,2650,41,0.05,29-08-2019,10509.26766,259.235256,0,FALSE,0,11109.65,11000,50.1,101,0,63.00828559,3302.327256,No SL Hit,99.88%,-50.40%
BAJAJ_AUTO.EQ-NSE,06-09-2019,2838.7,2800,51.3,0.1,26-09-2019,12498.74943,246.5917497,0,FALSE,0,10946.2,10850,0.05,110.5,0,63.94913303,7133.87751,No SL Hit,99.81%,-99.95%
BAJAJ_AUTO.EQ-NSE,11-10-2019,2899.5,2850,56.7,0.1,31-10-2019,13527.29781,241.4209346,0,FALSE,0,11305.05,11200,0.05,123.35,0,61.91923079,7711.049487,No SL Hit,99.82%,-99.96%
BAJAJ_AUTO.EQ-NSE,06-12-2019,3210,3150,41.15,0.05,26-12-2019,8872.772586,218.0685358,0,FALSE,0,11921.5,11800,0.05,83.35,0,58.71744327,4940.133372,No SL Hit,99.88%,-99.94%
BAJAJ_AUTO.EQ-NSE,10-01-2020,3102,3050,36.2,0.05,30-01-2020,8075.838169,225.660864,0,FALSE,0,12256.8,12150,114.05,82.7,0,57.11115462,-1678.068501,No SL Hit,99.86%,37.91%
BAJAJ_AUTO.EQ-NSE,07-02-2020,3135,3100,51.9,103.8,24-02-2020,-11936.17225,223.2854864,0,FALSE,0,12098.35,12000,193.6,101.55,0,57.85912955,-5155.161654,Intraday SL Hit,-100.00%,90.65%
BAJAJ_AUTO.EQ-NSE,06-03-2020,2745,2700,72.2,144.4,09-03-2020,-18964.00729,255.0091075,0,FALSE,0,10989.45,10900,555,252.95,0,63.69745529,-18725.17278,Intraday SL Hit,-100.00%,119.41%
